"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"SullivanCotter","4.0","4","100 Washington Ave S Suite 510, Minneapolis, MN 55401 | Located in: 100 Washington Square","(612) 294-3620","http://www.sullivancotter.com/","N/A","N/A","N/A"
"Minnehaha Business Services","4.5","20","3464 Minnehaha Ave So, Minneapolis, MN 55406","(612) 724-4630","https://www.mbsctaxes.com/","N/A","N/A","N/A"
"Mba Software & Consulting Inc","N/A","N/A","5409 Nicollet Ave # A, Minneapolis, MN 55419","(800) 431-1416","http://www.mbasoft.com/","N/A","N/A","N/A"
"ThreeBridge Solutions","4.8","12","N/A","(651) 321-4080","http://www.threebridge.com/","N/A","N/A","N/A"
"Okabena Company & Okabena Investment Services, Inc.","N/A","N/A","80 S 8th St, Minneapolis, MN 55402 | Floor 1 · IDS Center","(612) 339-7151","http://www.okabena.com/contact.html","N/A","N/A","N/A"
"Impact Strategies Group","N/A","N/A","Minneapolis Grain Exchange, 400 S 4th St Suite #401, Minneapolis, MN 55415 | Floor 1 · Minneapolis Grain Exchange","(612) 849-0939","http://isgimpact.com/","N/A","N/A","N/A"
"Lumina Business Services","N/A","N/A","N/A","N/A","https://proadvisor.intuit.com/app/accountant/search?searchId=raquel-bloom","N/A","N/A","N/A"
"Miller Davis Company","5.0","1","400 S 4th St #102m, Minneapolis, MN 55415 | Floor 1 · Flour Exchange Building","(612) 312-1570","http://www.millerdavis.com/","N/A","N/A","N/A"
"Romain Berg","4.8","17","80 S 8th St Suite 900, Minneapolis, MN 55402 | Floor 1 · IDS Center","(612) 400-8160","https://www.romainberg.com/","N/A","N/A","N/A"
"SERP Masters","N/A","N/A","120 South 6th St UNIT 1212, Minneapolis, MN 55402 | Floor 1 · Canadian Pacific Plaza","(612) 389-9269","https://serpmasters.com/minneapolis-seo-company/","N/A","N/A","N/A"
"Sundberg Tax & Consulting (DT Mpls) | Small Business Tax | Accountant","5.0","1","331 2nd Ave S Floor 4, Minneapolis, MN 55401 | Floor 4 · Expansive TriTech Center","(651) 689-4789","http://www.sundbergtc.com/","N/A","N/A","N/A"
"Lacek Group","4.0","5","900 2nd Ave S UNIT 1800, Minneapolis, MN 55402","(612) 359-3700","http://lacek.com/","N/A","N/A","N/A"
"Business Website Blueprint","N/A","N/A","2751 Hennepin Ave S #710, Minneapolis, MN 55408","(612) 568-2470","https://bwbcourse.com/","N/A","N/A","N/A"
"Load Bearing Wall Company - Structural Engineering of Minneapolis","5.0","60","275 Market St # 54, Minneapolis, MN 55405 | Floor 1 · International Market Square","(612) 445-7030","https://loadbearingwallcompany.com/","N/A","N/A","LGBTQ+ friendly"
"Mai Business Inc","5.0","8","N/A","(320) 966-5165","https://maibusinessinc.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned","Identifies as Asian-owned"
"Deloitte","3.7","3","50 South 6th St Suite 2800, Minneapolis, MN 55402","(612) 397-4000","https://www2.deloitte.com/us/en/footerlinks/office-locator/more-office-details/minneapolis-office.html?id=us:2os:3gl:localseo:awa:greendot:072519:gmb_minneapolis","N/A","N/A","N/A"
"Stewart Title Company - Minneapolis (Commercial)","1.0","1","333 S 7th St UNIT 2420, Minneapolis, MN 55402 | Located in: SPS Tower","(612) 355-3728","http://www.stewart.com/minneapolis","N/A","N/A","N/A"
"Gravity Global - Minneapolis","N/A","N/A","333 S 7th St #100, Minneapolis, MN 55402 | Located in: SPS Tower","N/A","https://www.gravityglobal.com/","N/A","N/A","N/A"
"Software for Good","4.2","6","N/A","N/A","http://softwareforgood.com/","N/A","N/A","N/A"
"Ernst & Young","4.6","8","The Dayton's Project, 700 Nicollet Mall Suite 500, Minneapolis, MN 55402 | Located in: U.S. Bank Branch","(612) 343-1000","http://www.ey.com/","N/A","N/A","N/A"
"HR Services for Small Business - HR Business Partners","5.0","6","2112 Broadway St NE, Minneapolis, MN 55413","(763) 245-8835","http://hrbponline.com/","N/A","N/A","Identifies as women-owned"
"Kraus-Anderson","4.0","20","501 S 8th St, Minneapolis, MN 55404","(612) 332-7281","http://www.krausanderson.com/","N/A","N/A","N/A"
"DigitalParc","5.0","7","15 S 5th St #616C, Minneapolis, MN 55402 | Located in: The 15 Building","(612) 845-5590","https://www.digitalparc.com/","N/A","N/A","N/A"
"Guaranty Commercial Title, Inc.","4.9","11","465 Nicollet Mall #230, Minneapolis, MN 55401 | Located in: Gaviidae Common","(612) 339-5813","http://www.guarantytitle.net/","N/A","N/A","N/A"
"Wells & Company Architects: Residential, Commercial Architecture Drafting Design","2.6","10","18N N 12th St Suite 3961, Minneapolis, MN 55403","(612) 669-2052","http://www.wellsandcompanyarchitects.com/","N/A","N/A","N/A"
"Sundberg Tax & Consulting (NE Mpls) | Small Business Tax | Accountant","N/A","N/A","2303 Kennedy St NE UNIT 201, Minneapolis, MN 55413 | Floor 1 · The Kennedy Building","(651) 689-4789","http://www.sundbergtc.com/","N/A","N/A","N/A"
"SEADCO","N/A","N/A","400 S 4th St Ste 401 PMB 40, Minneapolis, MN 55415 | Floor 1 · Minneapolis Grain Exchange","N/A","N/A","N/A","N/A","N/A"
"C T Corporation System","N/A","N/A","100 S 5th St UNIT 700, Minneapolis, MN 55402","(612) 852-1298","https://www.wolterskluwer.com/en/solutions/ct-corporation","N/A","N/A","N/A"
"Buzz Geek","5.0","5","100 S 5th St 19th Floor, Minneapolis, MN 55402 | Floor 19 · Fifth Street Towers","(612) 600-3889","https://buzzgeek.com/","N/A","N/A","N/A"
"Boulay","N/A","N/A","100 S 5th St Suite 1825, Minneapolis, MN 55402","(952) 893-9320","https://boulaygroup.com/business-advisory-services-in-minneapolis-mn/","N/A","N/A","N/A"
"Better Business Consultants, Inc","3.2","19","6700 France Ave S #165, Edina, MN 55435 | Located in: Southdale Office Center","N/A","N/A","N/A","N/A","N/A"
"Ebonee Sedequa Griffin and Company","N/A","N/A","N/A","(734) 905-7142","N/A","N/A","N/A","N/A"
"Redpath Consulting Group","4.6","10","400 S 4th St Suite 401-13, Minneapolis, MN 55415 | Floor 1 · Minneapolis Grain Exchange","(612) 843-3360","http://redpathcg.com/","N/A","N/A","N/A"
"O8","5.0","10","30 S 9th St 7th floor, Minneapolis, MN 55402","(612) 276-5880","N/A","N/A","N/A","LGBTQ+ friendly","Identifies as LGBTQ+ owned","Identifies as LGBTQ+ owned"
"Michael Baker International","N/A","N/A","120 South 6th St UNIT 1710, Minneapolis, MN 55402 | Floor 1 · Canadian Pacific Plaza","(612) 851-3800","https://www.mbakerintl.com/locations","N/A","N/A","N/A"
"Negstad Consulting, LLC","N/A","N/A","N/A","(612) 618-3511","https://www.negstadconsulting.com/","N/A","N/A","N/A"
"Enable Data Inc.","N/A","N/A","2811 University Ave SE unit 14926, Minneapolis, MN 55414 | Located in: United States Postal Service","(877) 515-6900","http://www.enabledata.com/","N/A","N/A","N/A"
"Whitney Office","N/A","N/A","730 2nd Ave S #425, Minneapolis, MN 55402 | Floor 1 · Baker Center","(612) 204-0911","N/A","N/A","N/A","N/A"
"KRW International Inc","2.0","1","N/A","(202) 734-7225","https://krw-intl.com/","N/A","N/A","N/A"
"Kim C Anderson & Co","N/A","N/A","80 S 8th St, Minneapolis, MN 55402 | Floor 1 · IDS Center","(612) 288-0408","N/A","N/A","N/A","N/A"
"CLA (CliftonLarsonAllen)","4.3","6","220 South 6th St UNIT 300, Minneapolis, MN 55402 | Located in: U.S. Bank Branch","(612) 376-4500","http://www.claconnect.com/locations/minnesota/offices/cla-minneapolis","N/A","N/A","N/A"
"Minneapolis Regional Chamber","3.7","3","81 S 9th St Suite 200, Minneapolis, MN 55402","(612) 370-9100","http://www.mplschamber.com/","N/A","N/A","N/A"
"Creed Interactive","4.8","6","500 Washington Ave S Suite 2060, Minneapolis, MN 55415 | Floor 1 · Depot Office Center","(651) 356-6996","http://www.creedinteractive.com/","N/A","N/A","N/A"
"BDO","N/A","N/A","800 Nicollet Mall UNIT 600, Minneapolis, MN 55405","(612) 367-3000","https://www.bdo.com/locations/bdo-minneapolis-office?utm_source=google&utm_medium=organic&utm_content=minneapolis_mn&utm_campaign=gmb","N/A","N/A","N/A"
"CO2 Coaching, LLC","5.0","35","110 Bank St SE L202, Minneapolis, MN 55414 | Located in: La Rive Condos","(612) 928-4747","http://co2coaching.com/","N/A","N/A","N/A"
"Pruvent PLLC","5.0","12","80 S 8th St Suite 900, Minneapolis, MN 55402 | Floor 1 · IDS Center","(888) 778-8368","https://pruvent.com/","N/A","N/A","N/A"
"SCORE","4.4","18","7760 France Ave S #1100, Bloomington, MN 55435","(952) 938-4570","https://score.org/twincities/?utm_source=google-business-profile&utm_medium=organic-soci&utm_campaign=main-website-cta","N/A","N/A","LGBTQ+ friendly"
"Sundberg Tax & Consulting (North Loop Minneapolis) | Small Business Tax | Accountant","3.0","2","333 N Washington Ave Suite #300, Minneapolis, MN 55401 | Located in: Spaces - Minneapolis - North Loop","(651) 689-4789","http://www.sundbergtc.com/","N/A","N/A","N/A"
"Atlas Solutions","5.0","2","60 South 6th St #2800, Minneapolis, MN 55402 | Floor 1 · 60 South Sixth","(866) 570-7744","http://www.atlas-x.com/","N/A","N/A","N/A"
"SMS Research Advisors","N/A","N/A","1101 W River Pkwy #400, Minneapolis, MN 55415","(612) 455-1700","http://smsresearch.com/","N/A","N/A","N/A"
"Drive Wheel LLC","N/A","N/A","225 South 6th St Suite 3900, Minneapolis, MN 55402","(612) 703-3718","https://www.drivewheel.com/","N/A","N/A","N/A"
"Collabera","1.2","5","100 S 5th St #575, Minneapolis, MN 55402","(877) 264-6424","https://www.collabera.com/","N/A","N/A","N/A"
"Itasca Consulting Group, Inc.","5.0","7","111 3rd Ave S, Minneapolis, MN 55401 | Located in: Barrel House","(612) 371-4711","http://www.itascacg.com/","N/A","N/A","N/A"
"Berman Law Services","5.0","64","225 South 6th St Suite 3900, Minneapolis, MN 55402 | Floor 1 · Capella Tower","(612) 403-2676","https://bermanlawservices.com/","N/A","N/A","N/A"
"Women's Business Development Center","5.0","2","2021 Hennepin Ave #200, Minneapolis, MN 55405","(612) 259-6584","https://www.wbdc.org/","N/A","N/A","N/A"
"Calhoun Consulting","N/A","N/A","222 S 9th St, Minneapolis, MN 55402 | Floor 1 · Campbell Mithun Tower","(612) 339-2206","N/A","N/A","N/A","N/A"
"Accquip Fractional CFO Services","5.0","6","400 S 4th St Suite 401 #38, Minneapolis, MN 55415 | Floor 1 · Minneapolis Grain Exchange","(612) 321-8418","http://www.accquip.com/","N/A","N/A","N/A"
"Lake Street Council","N/A","N/A","2925 Chicago Ave #190, Minneapolis, MN 55407 | Floor 1 · Midtown Exchange","(612) 822-0232","http://www.lakestreetcouncil.org/","N/A","N/A","LGBTQ+ friendly"
"Garner, Ginsburg, & Johnsen, P.A.","5.0","42","333 N Washington Ave Suit 300, Minneapolis, MN 55401 | Located in: Dock Street Flats North Loop","(612) 259-4800","https://www.yourfranchiselawyer.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","N/A","N/A","N/A"
"NEON (Northside Economic Opportunity Network)","4.7","27","1007 W Broadway, Minneapolis, MN 55411","(612) 302-1505","http://www.neon-mn.org/","N/A","N/A","N/A"
"Rubric Legal LLC","4.5","6","The Barrel House, 111 3rd Ave S #110, Minneapolis, MN 55401 | Located in: Barrel House","(612) 465-0074","http://rubriclegal.com/","N/A","N/A","N/A"
"Minneapolis Sign Company","4.6","11","50 South 6th St, Minneapolis, MN 55402","(612) 441-2286","https://minneapolis-sign-company.business.site/?utm_source=gmb&utm_medium=referral","N/A","N/A","N/A"
"ABA Tax Accounting","N/A","N/A","100 S 5th St, Minneapolis, MN 55402","(651) 300-4777","http://www.abataxaccounting.com/","N/A","N/A","N/A"
"Luxury Wealth Bookkeeping & Administrative Services LLC","N/A","N/A","N/A","(320) 429-2275","https://www.luxurywealthbookkeeping.com/","N/A","N/A","N/A"
"Minuteman Press Central, Minneapolis","5.0","89","527 SE 2nd Ave, Minneapolis, MN 55414","(612) 379-0406","http://www.minneapolis.minutemanpress.com/","N/A","N/A","N/A"
"Greenstein Sellers, PLLC","N/A","N/A","825 Nicollet Mall #1648, Minneapolis, MN 55402 | Floor 1 · Medical Arts Building","(763) 285-4703","https://greensteinsellers.com/","N/A","N/A","N/A"
"Craftmade Aprons, LLC","5.0","8","Dock #8, 1620 Central Ave NE Suite 162, Minneapolis, MN 55413 | Located in: Thorp Building","(612) 208-6805","http://craftmadeaprons.com/","N/A","N/A","N/A"
"Costco Business Center","4.7","1,554","3311 Broadway St NE, Minneapolis, MN 55413","(651) 502-7600","https://www.costcobusinessdelivery.com/warehouse-locations/minneapolis-business-center-minneapolis-mn-652.html?extid=gmb_652","N/A","N/A","N/A"
"Vital Print Press","4.9","49","2443 Hennepin Ave, Minneapolis, MN 55405","(612) 808-8661","https://www.vitalprintpress.com/","N/A","N/A","LGBTQ+ friendly"
"Midtown Global Market","4.6","4,080","920 E Lake St, Minneapolis, MN 55407 | Floor 1 · Chicago-Lake TC & Chicago Av S","(612) 872-4041","http://www.midtownglobalmarket.org/","N/A","N/A","N/A"
"AlphaGraphics","4.9","102","Skyway Level, 811 La Salle Ave, Minneapolis, MN 55402 | Floor 1 · US Bancorp Center","(612) 448-3234","https://www.alphagraphics.com/us-minnesota-minneapolis-us401/print-services?utm_source=yext&utm_medium=organic+&utm_campaign=minneapolis","N/A","N/A","N/A"
"The UPS Store","3.8","120","2801 Hennepin Ave S, Minneapolis, MN 55408","(612) 822-0022","https://locations.theupsstore.com/mn/minneapolis/2801-hennepin-ave-s?utm_source=Yext&utm_medium=organic&utm_campaign=Listings","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Jos. F. Palen Co.","4.0","31","1055 N 5th St, Minneapolis, MN 55411","(612) 338-7409","http://www.josfpalen.com/","N/A","N/A","N/A"
"Parc Shop","4.8","62","212 N 2nd St #102, Minneapolis, MN 55401","(612) 353-4966","http://www.parcboutique.com/","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:559090678,store:2348612966415408675,s:l&hl=en&gl=us&sts=13","LGBTQ+ friendly","Identifies as women-owned"
"Vinaigrette, LLC","5.0","43","5006 Xerxes Ave S, Minneapolis, MN 55410","(612) 922-9192","http://www.vinaigrettemn.com/","N/A","N/A","N/A"
"Carousel and Folk","4.9","41","3109 E 42nd St, Minneapolis, MN 55406","N/A","http://www.carouselandfolk.com/","N/A","N/A","N/A"
"Alpha Print","4.7","48","801 SE 9th St Suite 102, Minneapolis, MN 55414","(612) 379-8535","http://alphaprintandcopy.com/","N/A","N/A","N/A"
"Business By Design","4.3","12","4916 Lincoln Dr, Minneapolis, MN 55436 | Located in: Prime professional center","(952) 392-1200","http://www.mybbd.com/","N/A","N/A","N/A"
"801 Marquette","5.0","1","801 S Marquette Ave, Minneapolis, MN 55402","(612) 492-4293","https://facebook.com/801Marquette","N/A","N/A","N/A"
"Statement Boutique","4.8","26","212 N 3rd Ave Suite 105, Minneapolis, MN 55401 | Floor 1 · Colonial Warehouse","(651) 808-7663","http://thestatementboutique.com/","N/A","N/A","N/A"
"Minnesota Hmong Chamber of Commerce","N/A","N/A","401 Robert St N #150, St Paul, MN 55101 | Floor 1 · Securian Financial","(651) 265-2780","https://mnhmongchamber.org/","N/A","N/A","N/A"
"Siena Soap Company","4.9","28","1500 Jackson St NE Studio #179, Minneapolis, MN 55413 | Floor 1 · Northrup King Building","(612) 205-5368","http://www.sienasoap.com/","N/A","N/A","N/A"
"Meet Minneapolis","4.5","8","801 S Marquette Ave So, Suite 100, Minneapolis, MN 55402 | Located in: 801 Marquette","(612) 767-8000","http://www.minneapolis.org/","N/A","N/A","N/A"
"Smile Back Vintage","4.9","17","720 Washington Ave SE, Minneapolis, MN 55414","(715) 641-1492","http://www.smilebackvintage.com/","N/A","N/A","N/A"
"Small Julie L","N/A","N/A","701 Park Ave, Minneapolis, MN 55415","(612) 347-2218","N/A","N/A","N/A","N/A"
"Marigold","5.0","48","3506 Nicollet Ave, Minneapolis, MN 55408","N/A","N/A","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
