"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"Northern Engineering & Consulting, Inc.","5.0","3","2216 Tod Ct NW, Bemidji, MN 56601","(218) 444-4860","http://www.neciusa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12631258676927856684","N/A","N/A","N/A"
"bunifatza","N/A","N/A","625 Robin Ln SW, Bemidji, MN 56601","(515) 657-3062","N/A","N/A","N/A","N/A"
"OfficeMax","4.3","125","2008 Paul Bunyan Dr NW, Bemidji, MN 56601 | Located in: Westridge Shopping Center","(218) 751-6258","https://www.officedepot.com/storelocator/mn/bemidji/officemax-6631?utm_source=google&utm_medium=organic&utm_campaign=gmb_6631_website_retail","N/A","https://www.google.com/storefront/homepage?sfr=compass&lsf=seller:7933,store:2987158234046707311,s:l&hl=en&gl=us&sts=13","N/A"
"Bemidji Management Inc","4.3","6","N/A","(218) 751-6881","http://bemidjimanagementinc.com/","N/A","N/A","N/A"
"Bemidji Paper & Janitorial","5.0","5","1012 Paul Bunyan Dr SE, Bemidji, MN 56601","(218) 751-1550","https://business.bemidji.org/list/member/bemidji-paper-sales-janitorial-supply-57","N/A","N/A","N/A"
"Bemidji Property Management","N/A","N/A","709 Washington Ave S, Bemidji, MN 56601","(218) 556-7873","N/A","N/A","N/A","N/A"
"Maid In Bemidji","5.0","3","Bemidji, MN 56601","(218) 209-5127","https://maidinbemidji.com/","N/A","N/A","N/A"
"Norenberg & Associates Tax & Consulting Services","4.5","8","1900 Division St W #6, Bemidji, MN 56601","(218) 333-8956","http://www.norenbergtax.com/","N/A","N/A","N/A"
"Blue Ox Moving Company","4.9","105","1020 Washington Ave S, Bemidji, MN 56601","(218) 308-6001","http://www.moveblueox.com/","N/A","N/A","N/A"
"LNW Commercial Property Management","4.5","2","1032 Paul Bunyan Dr SE B, Bemidji, MN 56601","(218) 444-2052","http://www.rentbemidji.com/contact-us.html","N/A","N/A","N/A"
"LaValley Industries","5.0","1","1876 23rd St SE, Bemidji, MN 56601","(218) 444-3030","http://www.lavalleyindustries.com/","N/A","N/A","N/A"
"M & J Trking","N/A","N/A","1426 Miles Ave SE, Bemidji, MN 56601","(218) 444-4291","N/A","N/A","N/A","N/A"
"Kba Peterson Associates, Inc.","5.0","1","2901 Bemidji Ave N, Bemidji, MN 56601","(218) 444-2727","http://kbapeterson.com/","N/A","N/A","N/A"
"Rebecca Schueller Training & Consulting, LLC","N/A","N/A","N/A","N/A","http://www.bemidjiconsulting.com/","N/A","N/A","N/A"
"Trust Technology Services","N/A","N/A","615 Anne St NW, Bemidji, MN 56601 | Located in: Supreme Business Center","(218) 751-2376","N/A","N/A","N/A","N/A"
"Krigbaum & Jones Ltd","4.8","5","1420 Beltrami Ave NW, Bemidji, MN 56601","(218) 751-3812","https://www.bemidjicpa.com/","N/A","N/A","N/A"
"Miller McDonald, Inc.","3.7","6","513 Beltrami Ave NW, Bemidji, MN 56601","(218) 751-6300","http://www.millermcdonald.com/","N/A","N/A","N/A"
"Marcotte Accounting Services, LLC","N/A","N/A","657 Mag Seven Ct SW SE, Bemidji, MN 56601","(218) 556-1487","N/A","N/A","N/A","N/A"
"Bemidji Internet Services","N/A","N/A","1842 Anne St NW, Bemidji, MN 56601 | Located in: Bemidji Sports Centre","(218) 209-4637","http://www.bemidjiinternetservice.com/","N/A","N/A","N/A"
"Karvakko Engineering, Inc.","5.0","1","210 24th St NW # 100, Bemidji, MN 56601","(218) 444-8004","https://www.karvakko.com/","N/A","N/A","N/A"
"Klinger Jeremy","N/A","N/A","502 24th St NW, Bemidji, MN 56601","(218) 444-1750","https://bemidjiattorneys.com/Jeremy_A.html","N/A","N/A","N/A"
"EAPC Architects Engineers","5.0","1","222 3rd St NW, Bemidji, MN 56601","(218) 751-0151","http://eapc.net/","N/A","N/A","N/A"
"Creative Compass Wholesale","N/A","N/A","108 3rd St NW, Bemidji, MN 56601 | Located in: Compass Rose Boutique","(218) 556-4183","https://creativecompasswholesale.com/pages/contact","N/A","N/A","N/A"
"Innovative Office Solutions","N/A","N/A","1112 Railroad St SE, Bemidji, MN 56601","(952) 808-9900","http://www.innovativeos.com/","N/A","N/A","N/A"
"XPO","3.9","7","1400 Paul Bunyan Dr SE, Bemidji, MN 56601","(763) 783-7123","https://www.xpo.com/","N/A","N/A","N/A"
"Bernick's of Bemidji","5.0","3","959 Industrial Park Dr SE, Bemidji, MN 56601","(218) 751-5752","http://bernicks.com/","N/A","N/A","N/A"
"Bemidji Bus Lines","4.8","16","1507 Naylor Dr SE, Bemidji, MN 56601","(218) 751-5311","https://bemidjibus.com/","N/A","N/A","N/A"
"SMT","N/A","N/A","1422 Naylor Dr SE, Bemidji, MN 56601","(218) 444-4130","http://www.sharedmedtech.com/","N/A","N/A","N/A"
"OfficeMax Tech Services","1.0","1","2008 Paul Bunyan Dr NW, Bemidji, MN 56601 | Located in: OfficeMax","(218) 751-6258","https://www.officedepot.com/storelocator/mn/bemidji/officemax-6631/tech-services/?utm_source=google&utm_medium=organic&utm_campaign=gmb_6631_website_tech","N/A","N/A","N/A"
"2060 Digital","5.0","10","502 Beltrami Ave NW, Bemidji, MN 56601","(218) 631-1803","https://2060digital.com/","N/A","N/A","N/A"
"Wangberg Ben","3.7","3","514 America Ave NW, Bemidji, MN 56601","(218) 751-2221","N/A","N/A","N/A","N/A"
"Taste of Northern Minnesota","N/A","N/A","1111 Event Center Dr NE, Bemidji, MN 56601 | Located in: Sanford Center","(218) 444-3541","http://business.bemidji.org/","N/A","N/A","N/A"
"Barritt Law Office","4.1","10","1421 Bemidji Ave N #4, Bemidji, MN 56601","(218) 368-0357","http://www.barrittlaw.com/","N/A","N/A","N/A"
"Yost Network Solutions","N/A","N/A","102 1st St W Suite 113, Bemidji, MN 56601","(614) 923-4680","http://yostnetworks.com/","N/A","N/A","N/A"
"Legal Services of Northwest Mn","3.4","29","215 4th St NW, Bemidji, MN 56601","(218) 751-9201","http://www.lsnmlaw.org/","N/A","N/A","N/A"
"Northwestern Surveying and Engineering, Inc.","5.0","4","614 S Railroad St SE, Bemidji, MN 56601","(218) 444-9394","http://www.nwsmn.com/","N/A","N/A","N/A"
"Bemidji Cenex Hardware","4.2","31","320 3rd St NW, Bemidji, MN 56601","(218) 751-4260","https://bemidjicoop.com/country-store/","N/A","N/A","N/A"
"Northwoods Lumber Co-Bemidji","4.5","8","5102 U. S. Hwy 71, Bemidji, MN 56601","(218) 759-0633","https://northwoodslumber.com/","N/A","N/A","N/A"
"Bemidji Communications","4.2","49","211 Minnesota Ave NW, Bemidji, MN 56601","(218) 444-3389","http://www.bemcom.com/","N/A","N/A","N/A"
"James E Lynn Income Tax Services","4.0","4","714 15th St NW, Bemidji, MN 56601","(218) 751-9075","N/A","N/A","N/A","N/A"
"WM - Bemidji, MN","4.4","41","N/A","(218) 751-1668","https://www.wm.com/us/en/location/mn/beltrami?utm_source=gmb&utm_medium=organic&utm_campaign=S07335","N/A","N/A","N/A"
"Jackson Hewitt Tax Service","4.6","87","1008 Paul Bunyan Dr NW, Bemidji, MN 56601","(218) 444-4829","https://office.jacksonhewitt.com/tax-preparation-services-locations/en/mn/bemidji/1008-paul-bunyan-drive-nw/13373?utm_source=google&utm_medium=local&utm_campaign=local&utm_content=13373","N/A","N/A","N/A"
"Tidy Tammy Organizes","5.0","27","N/A","(218) 308-7753","http://www.tidytammyorganizes.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"H&R Block","4.7","50","115 2nd St NW, Bemidji, MN 56601 | Located in: Driver and Vehicle Services Exam Station","(218) 751-5202","https://www.hrblock.com/local-tax-offices/minnesota/bemidji/115-2nd-st-nw/22855","N/A","N/A","N/A"
"Dearholt Tax & Accounting","3.6","5","613 Roosevelt Rd SE, Bemidji, MN 56601","(218) 444-1040","https://www.cpabemidji.com/","N/A","N/A","N/A"
"Morell's Chippewa Trading Post","4.4","106","301 Bemidji Ave N, Bemidji, MN 56601","(218) 751-4321","http://business.bemidji.org/list/member/morell-s-chippewa-trading-post-322","N/A","N/A","N/A"
"Bailey Law Office","5.0","5","1331 Anne St NW, Bemidji, MN 56601","(218) 751-0634","https://www.baileylawmn.com/","N/A","N/A","N/A"
"Douglas P. Johnson","N/A","N/A","215 4th St NW, Bemidji, MN 56601","(218) 751-9201","http://lsnmlaw.org/?page_id=310","N/A","N/A","N/A"
"Tintmasters Home and Business Bemidji","5.0","2","750 Paul Bunyan Dr NW Suite 101, Bemidji, MN 56601","(218) 368-5863","http://www.tintmastershome.com/","N/A","N/A","N/A"
"Bemidji Welders Supply Co","4.8","16","3416 Bemidji Ave N, Bemidji, MN 56601","(218) 751-1392","https://www.bemidjiwelderssupply.com/","N/A","N/A","N/A"
"Paul Bunyan Communications","3.9","189","1831 Anne St NW, Bemidji, MN 56601","(218) 444-1234","https://www.paulbunyan.net/","N/A","N/A","N/A"
"Bemidji Brewing","4.8","264","211 America Ave NW, Bemidji, MN 56601","(218) 444-7011","http://www.bemidjibeer.com/","N/A","N/A","N/A"
"Fieldstone Financial, Inc.","5.0","1","3728 Bemidji Ave N Suite 400, Bemidji, MN 56601","(218) 444-3863","http://www.fieldstonefinancialinc.com/","N/A","N/A","N/A"
"Brouse Woodke & Meyer P.L.L.P","N/A","N/A","312 America Ave NW, Bemidji, MN 56601","(218) 759-1673","https://bwhlawpllp.com/","N/A","N/A","N/A"
"Pederson Jay","5.0","1","514 America Ave NW, Bemidji, MN 56601","(218) 751-2221","N/A","N/A","N/A","N/A"
"AGENCY","5.0","1","3211 Hannah Ave NW Suite D, Bemidji, MN 56601","N/A","http://www.youragencyworks.com/","N/A","N/A","Identifies as women-owned"
"American Engineering Testing, Inc. (AET)","5.0","1","3940 Minnkota Ave NW, Bemidji, MN 56601 | Located in: Ecowater Systems","(218) 209-2977","http://www.teamaet.com/","N/A","N/A","N/A"
"Culligan of Bemidji serving: Beltrami, Cass, Clearwater, Hubbard, Pennington, and Polk counties","4.8","94","1400 Neilson Ave SE, Bemidji, MN 56601","(218) 751-2651","https://culliganofbemidji.com/","N/A","N/A","N/A"
"D&D Beverage Bemidji","N/A","N/A","1497 Carr Lake Rd SE, Bemidji, MN 56601","N/A","N/A","N/A","N/A","N/A"
"Brehmer Dan CPA","5.0","1","315 3rd St NW, Bemidji, MN 56601","(218) 751-5990","N/A","N/A","N/A","N/A"
"Pederson Jason D","N/A","N/A","514 America Ave NW, Bemidji, MN 56601","(218) 751-2221","http://lawofficemn.com/","N/A","N/A","N/A"
"Advantage Seamless Gutters Bemidji","N/A","N/A","N/A","(218) 210-4161","https://www.advantageseamlessgutters.com/","N/A","N/A","N/A"
"George L Duranske III Law Firm","2.3","8","1435 Anne St NW, Bemidji, MN 56601","(218) 751-2236","N/A","N/A","N/A","N/A"
"Smash Tax LLC","3.8","6","718 Bemidji Ave N, Bemidji, MN 56601","(218) 444-3224","http://smashtaxmn.com/","N/A","N/A","N/A"
"Elliott Mark R CPA","N/A","N/A","Bemidji, MN 56601","(218) 759-9411","N/A","N/A","N/A","N/A"
"Indigenous Environmental Network","5.0","1","303 Railroad St SW, Bemidji, MN 56601","(218) 751-4967","http://www.ienearth.org/","N/A","N/A","N/A"
"Gitr Computer & Design","N/A","N/A","521 Minnesota Ave NW, Bemidji, MN 56601","N/A","https://splinternetmarketing.com/local-pros/mn/bemidji/gitr-computer-design/","N/A","N/A","N/A"
"Mayer Accounting & Income Tax, Inc.","N/A","N/A","819 Paul Bunyan Dr S Suite 1, Bemidji, MN 56601","(218) 759-2061","http://facebook.com/Mayer-Accounting-Income-Tax-Inc-303595879781937/","N/A","N/A","N/A"
"NLFX Professional","4.8","88","1319 Naylor Dr SE, Bemidji, MN 56601","(218) 444-2994","https://www.nlfxpro.com/","N/A","N/A","N/A"
"Dakota Supply Group - DSG - Bemidji","3.7","3","2115 Net Way NW, Bemidji, MN 56601","(218) 444-3272","https://www.dsgsupply.com/?utm_source=gmb&utm_medium=organic&utm_term=bemidji","N/A","N/A","N/A"
"Newman Justin L","N/A","N/A","677 Anne St NW Suite B, Bemidji, MN 56601 | Located in: Supreme Business Center","(218) 444-4529","N/A","N/A","N/A","N/A"
"Duranske Law Firm","5.0","3","1435 Anne St NW, Bemidji, MN 56601","(218) 751-2236","N/A","N/A","N/A","N/A"
"Smith Law Firm","N/A","N/A","115 5th St NW, Bemidji, MN 56601","(218) 751-3130","N/A","N/A","N/A","N/A"
"Haskell Law Firm","N/A","N/A","205 7th St NW, Bemidji, MN 56601","(218) 308-6930","N/A","N/A","N/A","N/A"
"Occupational Development Center, Inc.","4.7","17","1219 Naylor Dr SE, Bemidji, MN 56601","(218) 751-6001","https://odcmn.org/","N/A","N/A","N/A"
"Bemidji Windows and Doors, LLC","5.0","3","2827 Marion Dr SE, Bemidji, MN 56601","(952) 292-7181","http://www.bemidjiwindows.com/","N/A","N/A","N/A"
"Walmart Tech Services","N/A","N/A","2025 Paul Bunyan Dr NW, Bemidji, MN 56601 | Located in: Walmart Supercenter","(218) 755-6120","https://www.walmart.com/store/3233-bemidji-mn/walmart-tech-services","N/A","N/A","N/A"
"Rodgers Law Office, PLLC","4.6","23","1421 Bemidji Ave N, Bemidji, MN 56601","(218) 444-5297","http://www.mninjurylaw.com/","N/A","N/A","N/A"
"Orion Financial Group","5.0","1","1223 Bemidji Ave N, Bemidji, MN 56601","(218) 759-0777","https://www.ofgmn.com/","N/A","N/A","N/A"
"Native Eco Solutions, Inc.","N/A","N/A","51185 U. S. Hwy 71, Bemidji, MN 56601","(760) 889-9481","https://www.nativeecosolutions.com/","N/A","N/A","Identifies as veteran-owned","Identifies as Indigenous-owned"
"Dream It. Do It. MN","N/A","N/A","1500 Birchmont Dr NE, Bemidji, MN 56601 | Located in: Bemidji State University","(800) 627-3529","N/A","N/A","N/A","N/A"
"Shannon’s Tax & Consulting Services","N/A","N/A","1900 Division St W #6, Bemidji, MN 56601","(218) 333-8956","N/A","N/A","N/A","N/A"
"Waymore Everything","N/A","N/A","114 4th St NW, Bemidji, MN 56601","(218) 368-1843","https://waymoreeverything.com/","N/A","N/A","N/A"
"Bob Rosch Accounting","N/A","N/A","819 Paul Bunyan Dr SE, Bemidji, MN 56601","(218) 759-2061","N/A","N/A","N/A","N/A"
"Gaber Investigations, LLC","N/A","N/A","215 Paul Bunyan Dr NW #248, Bemidji, MN 56601","(218) 457-3685","https://www.gaberllc.net/pisv.html","N/A","N/A","N/A"
"Huseby Jon T","5.0","2","514 America Ave NW, Bemidji, MN 56601","(218) 751-2221","N/A","N/A","N/A","N/A"
"DB Bookkeeping","N/A","N/A","N/A","(218) 556-4524","N/A","https://calendly.com/destaneybrown","N/A","N/A"
"Haskell Law Firm Pllc","3.0","2","205 7th St SW, Bemidji, MN 56601","(218) 751-4060","http://haskelllawbemidji.com/","N/A","N/A","N/A"
"CareerForce in Bemidji Westridge","N/A","N/A","2300 24th St NW Ste 106, Bemidji, MN 56601","(218) 444-0732","https://www.careerforcemn.com/bemidji","N/A","N/A","N/A"
"City of Bemidji Sanitation","N/A","N/A","317 4th St NW, Bemidji, MN 56601 | Floor 1 · Bemidji City Hall","(218) 759-3567","N/A","N/A","N/A","N/A"
"Bobcat of Bemidji","4.6","9","3516 Irvine Ave NW, Bemidji, MN 56601","(218) 751-4660","http://www.goironhide.com/","N/A","N/A","N/A"
"Ind. L'BRI Pure n' Natural Consultant","5.0","1","207 Merle Ct NE, Bemidji, MN 56601","(218) 766-3886","N/A","N/A","N/A","N/A"
"Cayko Ronald","5.0","2","514 America Ave NW, Bemidji, MN 56601","(218) 751-2221","N/A","N/A","N/A","N/A"
"Paul Bunyan Storage","4.0","1","1259 Industrial Park Dr SE, Bemidji, MN 56601","N/A","https://www.paulbunyanministorage.com/","N/A","N/A","N/A"
"LSS Mn Guardianship Cnsrvtr","5.0","1","403 4th St NW #120, Bemidji, MN 56601 | Located in: Bemidji Health & Wellness Center","(218) 751-7880","http://www.lssmn.org/","N/A","N/A","N/A"
"Public Defender's Office 9th","4.1","11","619 Beltrami Ave NW # 240, Bemidji, MN 56601","(218) 755-4333","N/A","N/A","N/A","N/A"
"Rohlfing Beverage Inc","N/A","N/A","1527 Naylor Dr SE, Bemidji, MN 56601","(218) 209-7806","N/A","N/A","N/A","N/A"
"Hazelton Law Group","4.3","13","110 Mag Seven Ct SW Suite 100, Bemidji, MN 56601","(218) 210-2043","https://www.hazeltonlawgroup.com/?npcmp=dir:local:2752676:56601","N/A","N/A","N/A"
"Linden Peak Accounting","N/A","N/A","N/A","(218) 210-8001","https://lindenpeakaccounting.com/","N/A","N/A","N/A"
"Bemidji Insurance Plus","4.6","18","709 Washington Ave S, Bemidji, MN 56601","(218) 751-3771","N/A","N/A","N/A","N/A"
"Edward Jones - Financial Advisor: Eileen M Bretschneider, CFP®","5.0","1","2506 Hannah Ave NW, Bemidji, MN 56601 | Located in: Simonson Market","(218) 759-6448","https://www.edwardjones.com/us-en/financial-advisor/eileen-bretschneider?y_source=1_OTY2NTQ5LTcxNS1sb2NhdGlvbi53ZWJzaXRl","N/A","N/A","N/A"
