"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"Dairy Queen Grill & Chill","4.3","92","1401 Paul Bunyan Dr NW, Bemidji, MN 56601","(218) 751-0977","https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=558&y_source=1_ODk5NTUxMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","N/A","N/A","N/A"
"KFC","2.7","455","6660 Camden Blvd, Fountain, CO 80817","(719) 392-0426","https://locations.kfc.com/co/fountain/6660-camden-ave","N/A","N/A","N/A"
"Del Taco","3.9","1,209","8020 N Academy Blvd, Colorado Springs, CO 80920","(719) 599-0155","https://locations.deltaco.com/us/co/colorado-springs/8020-n-academy-blvd?utm_source=G&utm_medium=local&utm_campaign=google-local","N/A","N/A","N/A"
"Chipotle Mexican Grill","3.0","5","7565 Falcon Mkt Pl, Falcon, CO 80831","(719) 719-2087","https://www.chipotle.com/?utm_source=google&utm_medium=yext&utm_campaign=yext_listings","N/A","N/A","N/A"
"Freddy's Frozen Custard & Steakburgers","4.0","113","7575 Falcon Mkt Pl, Falcon, CO 80831","(719) 698-2012","https://www.freddys.com/?utm_source=extnet&utm_medium=yext","N/A","N/A","N/A"
"Burger King","2.8","1,304","6770 Camden Blvd, Fountain, CO 80817","(719) 390-4600","https://burgerking.com/store-locator/store/restaurant_6795","N/A","N/A","N/A"
"The Green Line Grill","4.6","1,828","230 1/2 Pueblo Ave, Colorado Springs, CO 80903","(719) 964-1461","http://www.thegreenlinegrill.com/","N/A","N/A","LGBTQ+ friendly","Identifies as veteran-owned"
"Popeyes Louisiana Kitchen","2.9","1,824","6666 Camden Blvd, Fountain, CO 80817","(719) 392-2255","https://www.popeyes.com/store-locator/store/restaurant_83330","N/A","N/A","N/A"
"Taco Express","4.3","869","5850 Tutt Blvd, Colorado Springs, CO 80923 | Located in: Ridgeview Marketplace","(719) 573-7736","http://www.tacoexpressco.com/","N/A","N/A","N/A"
"Raising Cane's Chicken Fingers","4.3","2,388","7585 N Academy Blvd, Colorado Springs, CO 80920 | Located in: Chapel Hills","(719) 593-1599","https://www.raisingcanes.com/locations/C392","N/A","N/A","N/A"
"Bingo Burger - Colorado Springs","4.2","1,513","132 N Tejon St, Colorado Springs, CO 80903 | Located in: Saks Building","(719) 418-6223","http://bingoburger.com/","N/A","N/A","LGBTQ+ friendly"
"Monica's Taco Shop","4.3","946","5829 Palmer Park Blvd, Colorado Springs, CO 80915 | Located in: Powers Center","(719) 597-7022","https://monicastacoshop.com/","N/A","N/A","N/A"
"Cy's Drive-In Restaurant","4.3","1,354","1833 W Uintah St, Colorado Springs, CO 80904","(719) 630-7008","http://cysdrivein.com/menu","N/A","N/A","N/A"
"Smashburger","3.4","657","9290 Highland Rdg Hts #100, Colorado Springs, CO 80920 | Located in: Focus on the Family Bookstore","(719) 308-5657","https://smashburger.com/locations/us/co/colorado-springs/9290-highland-ridge-heights/?utm_source=SEO_Local&utm_medium=GMB&utm_campaign=SEO_CO&utm_content=SEO_Colorado_Springs&utm_term=1768","N/A","N/A","LGBTQ+ friendly"
"D.P. Dough","4.1","653","4239 N Nevada Ave 108 & 109, Colorado Springs, CO 80907","(719) 268-2777","http://dpdough.com/","N/A","N/A","N/A"
"Grand Gyros","4.7","879","3980 Palmer Park Blvd, Colorado Springs, CO 80909 | Located in: Rustic Hills","(719) 597-4282","N/A","N/A","N/A","N/A"
"Alfonso's Mexican Food","4.3","2,207","1022 S 21st St, Colorado Springs, CO 80904","(719) 575-9289","https://www.alfonsosmexicanfoodcs.com/","N/A","N/A","N/A"
"Twisted Tenders","4.1","16","3316 Cinema Point, Colorado Springs, CO 80922 | Located in: First & Main Town Center","(346) 440-0772","https://www.twistedchickentenders.com/","N/A","N/A","N/A"
"Drifter's Hamburgers","4.5","3,783","4455 Mark Dabling Blvd, Colorado Springs, CO 80907","(719) 548-8163","http://driftershamburgers.com/","N/A","N/A","N/A"
"Milano’s Pizza & Italian Kitchen","4.3","45","750 Citadel Dr E suit 2268, Colorado Springs, CO 80909 | Located in: The Citadel Mall","(719) 435-1353","N/A","N/A","N/A","N/A"
"Santana's Vegan Grill","4.6","2,071","3220 Austin Bluffs Pkwy, Colorado Springs, CO 80918","(719) 694-9331","http://www.santanasvegangrill.com/","N/A","N/A","N/A"
"Slim Chickens","4.1","281","7535 Falcon Mkt Pl, Falcon, CO 80831","(719) 401-5720","https://slimchickens.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ","N/A","N/A","N/A"
"Jimmy John's","3.3","303","7965 Fountain Mesa Rd Suite 100, Fountain, CO 80817","(719) 382-3050","https://locations.jimmyjohns.com/co/fountain/sandwiches-2925.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link","N/A","N/A","N/A"
"QDOBA Mexican Eats","4.1","435","1605 Briargate Pkwy Suite 131, Colorado Springs, CO 80920 | Located in: The Promenade Shops At Briargate","(719) 264-6185","https://locations.qdoba.com/us/co/colorado-springs/1605-briargate-pkwy.html","N/A","N/A","LGBTQ+ friendly"
"Trivelli's Hoagies","4.7","58","2729 N Nevada Ave, Colorado Springs, CO 80907","(719) 471-7733","http://www.trivellis.net/","N/A","N/A","N/A"
"Los Carnales Mexican Food","4.2","632","2131 W Colorado Ave, Colorado Springs, CO 80904","(719) 635-5350","http://orderloscarnalesmexicanfood.com/","N/A","N/A","N/A"
"Captain D's","4.2","812","4441 Integrity Center Point, Colorado Springs, CO 80917","(719) 666-7836","https://locations.captainds.com/ll/US/CO/Colorado-Springs/4441-Integrity-Center-Point","N/A","N/A","N/A"
"Panda Express","3.6","894","2020 Southgate Rd, Colorado Springs, CO 80906 | Located in: Broadmoor Towne Center","(719) 227-0049","https://www.pandaexpress.com/locations/co/colorado-springs/2020-southgate-road","N/A","N/A","N/A"
"El Super Taco","4.3","1,497","2890 S Academy Blvd, Colorado Springs, CO 80916 | Located in: Hancock Plaza Shopping Center","(719) 392-2277","https://elsupertaco.net/colorado-springs/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=90e9a71a-92ae-41ab-ba21-b3897b00068c","N/A","N/A","N/A"
"Dickey's Barbecue Pit","3.9","573","7935 Constitution Ave, Colorado Springs, CO 80951","(719) 574-7074","https://www.dickeys.com/locations/colorado/colorado-springs/constitution?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website","N/A","N/A","N/A"
"Fast Fit Foods Ft Carson","4.6","58","445 E Cheyenne Mountain Blvd Suite H, Colorado Springs, CO 80906 | Located in: Cheyenne Shopping Center","(719) 315-7325","https://fastfitfoodsco.com/","N/A","N/A","Identifies as veteran-owned"
"Fat Boys Pizza","3.5","284","2049 B St, Colorado Springs, CO 80906 | Located in: College Plaza","(719) 576-7070","http://fatboyspizza.com/","N/A","N/A","N/A"
"Angry Chicken (Colorado Springs) & Juicy 88 Hotdog","4.4","579","1869 S Nevada Ave, Colorado Springs, CO 80905","(719) 694-9730","https://www.angrychickencsco.com/","N/A","N/A","N/A"
"Felipe's 109","4.5","765","3008 S Academy Blvd, Colorado Springs, CO 80910","(719) 392-0447","http://www.felipes109.com/","N/A","N/A","N/A"
"Buffalo Wild Wings","3.6","2,839","7425 N Academy Blvd, Colorado Springs, CO 80920 | Located in: Falcon Landing","(719) 594-9464","https://www.buffalowildwings.com/locations/us/co/colorado-springs/7425-n-academy-blvd/sports-bar-91?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link","N/A","N/A","LGBTQ+ friendly"
"Fat Shack","4.1","563","3578 Hartsel Dr, Colorado Springs, CO 80920 | Located in: Woodmen Plaza","(719) 598-9333","http://www.fatshack.com/","N/A","N/A","N/A"
"In-N-Out Burger","4.4","3,568","1840 Democracy Point, Colorado Springs, CO 80908","(800) 786-1000","https://locations.in-n-out.com/359","N/A","N/A","N/A"
"Rocha's Mexican Fast Food","4.1","124","1534 S Nevada Ave, Colorado Springs, CO 80905 | Located in: Fred Loya Insurance","(719) 308-2774","N/A","N/A","N/A","N/A"
"Salsa Latina","4.6","460","28 E Rio Grande St, Colorado Springs, CO 80903","(719) 328-1513","https://salsalatina.net/","N/A","N/A","N/A"
"Arceo's Mexican Restaurant","3.9","762","4608 Rusina Rd, Colorado Springs, CO 80907","N/A","N/A","N/A","N/A","N/A"
"Jersey Mike's Subs","3.8","499","6825 Mesa Ridge Pkwy Ste. 150, Fountain, CO 80817","(719) 434-4718","https://www.jerseymikes.com/22011/fountain-co","N/A","N/A","N/A"
"Kung Fu Tea x TKK FriedChicken COSprings","4.8","41","1904 Southgate Rd, Colorado Springs, CO 80906 | Located in: Broadmoor Towne Center","(719) 418-2047","N/A","N/A","N/A","N/A"
"Jo Jo's Chuck Stop","5.0","15","2102 Janitell Rd, Colorado Springs, CO 80906","(719) 491-3952","N/A","N/A","N/A","N/A"
"Panera Bread","3.0","266","5985 Dublin Blvd Suite 100, Colorado Springs, CO 80923","(719) 900-5299","https://www.panerabread.com/en-us/cafe/locations/co/colorado-springs/5985-dublin-boulevard?utm_medium=local&utm_source=google&utm_campaign=dpm-dist&utm_term=202462&utm_content=main","N/A","N/A","N/A"
"La Casita Mexican Grill","4.0","1,274","3725 E Woodmen Rd #4192, Colorado Springs, CO 80918","(719) 536-0375","http://lacasitamexigrill.com/","N/A","N/A","N/A"
"Dunkin'","3.4","81","Great Wolf Lodge, 9494 Federal Dr, Colorado Springs, CO 80921 | Located in: Great Wolf Lodge Water Park | Colorado Springs","(719) 599-9653","https://locations.dunkindonuts.com/en/co/colorado-springs/9494-federal-dr/355264?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=355264&y_source=1_MTIxMTQ2NjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","N/A","N/A","N/A"
"Kayyz Creationz","N/A","N/A","1852 Final View Aly, Colorado Springs, CO 80910","N/A","N/A","N/A","N/A","N/A"
"Fast Fit Foods Fillmore","4.7","22","3018 N Nevada Ave Ste. 100, Colorado Springs, CO 80907","(719) 315-7325","http://www.fastfitfoodsco.com/","N/A","N/A","Identifies as veteran-owned"
"Angie's Latin food","4.6","374","2593 Airport Rd, Colorado Springs, CO 80910","(719) 306-9915","https://www.angieslatinfood.com/","N/A","N/A","N/A"
"Azada Mexican Grill","4.5","616","16 E Bijou St, Colorado Springs, CO 80903","(719) 634-8338","http://azadamexicangrillco.com/","N/A","N/A","N/A"
"Paris Crepe","4.8","649","1019 S Tejon St, Colorado Springs, CO 80903","(719) 444-0110","https://www.facebook.com/pariscrepe.cos/?paipv=0&eav=AfZlqN04ZY2csUWBWj6F-SGpXbPW_XZMXCONtiurUKrlJ8dMSsJWTFUUvyKQ1jkLXCc&_rdr","N/A","N/A","LGBTQ+ friendly"
"Mediterranean Cafe","4.6","556","118 E Kiowa St, Colorado Springs, CO 80903","(719) 633-0115","https://medcafe-co.com/","N/A","N/A","N/A"
"Margo's Vienna Station","4.6","699","3442 W Colorado Ave, Colorado Springs, CO 80904","(719) 630-7453","N/A","N/A","N/A","N/A"
"Pikes Peak Cafe","N/A","N/A","101 El Paso Blvd, Manitou Springs, CO 80829","N/A","N/A","N/A","N/A","N/A"
"European Cafe and Restaurant","4.6","600","1015 Colorado Ave, Colorado Springs, CO 80904","(719) 632-6309","http://www.europeancafeocc.com/","N/A","N/A","N/A"
"Mountain Shadows Restaurant","4.6","2,223","2223 Colorado Ave, Colorado Springs, CO 80904","(719) 633-2122","http://mtnshadowsrestaurant.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Black Bear Diner","4.4","4,125","975 N Academy Blvd, Colorado Springs, CO 80909 | Located in: Citadel Crossing Shopping Center","(719) 314-3616","https://blackbeardiner.com/location/academy-black-bear/","N/A","N/A","N/A"
"Front Range Barbeque","4.6","3,908","2330 W Colorado Ave, Colorado Springs, CO 80904","(719) 632-2596","http://www.frbbq.com/","N/A","N/A","N/A"
"Schlotzsky's","4.2","1,262","2381 N Academy Blvd Suite 101, Colorado Springs, CO 80909 | Located in: Plaza 2300","(719) 574-0337","https://locations.schlotzskys.com/co/colorado-springs/2381-n-academy-blvd?utm_source=google&utm_medium=organic&utm_campaign=locations_partner","N/A","N/A","N/A"
"92 Chicken Colorado Springs","4.8","139","4431 Centennial Blvd, Colorado Springs, CO 80907 | Located in: West Wind Marketplace","(719) 247-8008","N/A","N/A","N/A","N/A"
"Pub Dog Colorado","4.5","1,661","2207 Bott Ave, Colorado Springs, CO 80904","(719) 375-0771","https://pubdogcolorado.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Bon Ton's Cafe","4.4","2,190","2601 W Colorado Ave, Colorado Springs, CO 80904","(719) 634-1007","https://bontonscafe.com/","N/A","N/A","N/A"
"Taste Of Philly","4.3","941","225 S 8th St, Colorado Springs, CO 80905","(719) 471-1922","N/A","N/A","N/A","N/A"
"Rancho Alegre Mexican Restaurant","4.1","1,028","1899 S Nevada Ave, Colorado Springs, CO 80905","(719) 329-1276","http://orderranchoalegremexicanrestaurant.com/","N/A","N/A","N/A"
"Domino's Pizza","3.4","31","7408 Black Forest Rd, Colorado Springs, CO 80923","(719) 466-8993","https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps","N/A","N/A","N/A"
"Chili's Grill & Bar","4.1","1,755","5807 N Academy Blvd, Colorado Springs, CO 80918","(719) 260-1788","https://www.chilis.com/locations/us/colorado/colorado-springs/colorado-springs?utm_source=google&utm_medium=local&utm_campaign=Chilis","N/A","N/A","LGBTQ+ friendly"
"Red Robin Gourmet Burgers and Brews","4.0","3,014","3770 Bloomington St, Colorado Springs, CO 80922 | Located in: First & Main Town Center","(719) 622-8157","https://locations.redrobin.com/co/colorado-springs/62/","N/A","N/A","N/A"
"Rudy's Little Hideaway Restaurant","4.3","1,707","945 S 8th St, Colorado Springs, CO 80905","(719) 632-9527","https://www.rudyslittlehideaway.com/","N/A","N/A","N/A"
"Sheldon's Luncheonette","4.7","370","204 Mt View Ln #16, Colorado Springs, CO 80907","(719) 599-0887","https://sheldonslunch.com/","N/A","N/A","Identifies as women-owned"
"Omelets Etc","4.5","846","2850 S Academy Blvd, Colorado Springs, CO 80916 | Floor 1 · Hancock Plaza Shopping Center","(719) 392-1753","N/A","N/A","N/A","N/A"
"Miguel's Mexican Bar & Grill","4.6","730","229 S 8th St, Colorado Springs, CO 80905","(719) 203-4243","https://www.miguelsmex.com/","N/A","N/A","Identifies as veteran-owned","Identifies as Latino-owned"
"Capriotti's Sandwich Shop","3.9","73","5856 Barnes Rd, Colorado Springs, CO 80922","(719) 358-7142","http://order.capriottis.com/store/10161","N/A","N/A","LGBTQ+ friendly"
"MOD Pizza","4.6","1,003","13461 Bass Pro Dr Suite 100, Colorado Springs, CO 80921","(719) 487-3137","https://locations.modpizza.com/usa/co/colorado-springs/13461-bass-pro-dr?utm_source=google&utm_medium=yext","N/A","N/A","N/A"
"Noodles and Company","4.1","787","5844 Barnes Rd, Colorado Springs, CO 80922","(719) 597-4950","https://locations.noodles.com/co/colorado-springs/5844-barnes-road.html?utm_campaign=yext&utm_medium=organic&utm_source=google","N/A","N/A","LGBTQ+ friendly"
"El Super Taco Mariscos","4.3","758","6502 S Academy Blvd, Colorado Springs, CO 80906 | Located in: Cheyenne Mountain","(719) 576-1675","https://elsupertaco.net/colorado-springs-mariscos/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=6a78f2e0-9911-420d-8d2c-0afc06857f52","N/A","N/A","N/A"
"Alfonso's Mexican Food 2","4.5","115","1735 B St, Colorado Springs, CO 80906","(719) 576-1032","N/A","N/A","N/A","N/A"
"Fazoli's","4.0","990","3607 Austin Bluffs Pkwy, Colorado Springs, CO 80918 | Located in: Austin Bluffs Shopping center","(719) 535-0369","https://locations.fazolis.com/co/colorado-springs/3607-austin-bluffs-pkwy.html?utm_source=yext+GMB&utm_medium=local&utm_campaign=website&y_source=1_MzExNzA1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","N/A","N/A","Identifies as Black-owned","LGBTQ+ friendly"
"Tasty Korean","4.6","209","1609 Lashelle Way, Colorado Springs, CO 80906","(719) 576-0680","N/A","N/A","N/A","N/A"
"China Wok","4.1","404","6530 S Academy Blvd 111 A, Colorado Springs, CO 80906","(719) 527-1888","http://www.chinawokcoloradosprings.com/","N/A","N/A","N/A"
"Springs Wings SW","4.1","733","6504 S Academy Blvd, Colorado Springs, CO 80906 | Located in: Cheyenne Mountain","(719) 576-6400","http://springswildwings.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"On The Border Mexican Grill & Cantina - S. Colorado Springs","3.9","2,007","2190 Southgate Rd, Colorado Springs, CO 80906 | Located in: Broadmoor Towne Center","(719) 645-7570","https://www.ontheborder.com/locations/s-colorado-springs/","N/A","N/A","N/A"
"Mi Taqueria Llc","5.0","3","2855 S Academy Blvd, Colorado Springs, CO 80916","N/A","N/A","N/A","N/A","N/A"
"Waffle House","4.3","2,218","1039 Space Center Dr, Colorado Springs, CO 80915","(719) 638-0316","https://locations.wafflehouse.com/coloradosprings-co-1523","N/A","N/A","N/A"
"Cheba Hut ""Toasted"" Subs","4.6","602","5697 Barnes Rd Suite 100, Colorado Springs, CO 80917","(719) 999-5970","https://chebahut.com/locations/colorado-springs-powers/","N/A","N/A","LGBTQ+ friendly"
"Pizza Hut","3.5","363","6130 Barnes Rd Suite 100, Colorado Springs, CO 80922","(719) 570-9333","https://locations.pizzahut.com/co/colorado-springs/6130-barnes-rd?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=299167","N/A","N/A","N/A"
"Fuzzy's Taco Shop","4.3","4,569","5915 Dublin Blvd, Colorado Springs, CO 80923","(719) 388-8226","https://fuzzystacoshop.com/locations/colorado/colorado-springs-dublin/","N/A","N/A","N/A"
"Drive-in Tasty Freeze","4.6","810","2309 N Weber St, Colorado Springs, CO 80907","(719) 344-9073","http://www.driveintastyfreeze.com/","N/A","N/A","N/A"
"Viva El Taco Mexican Food","4.0","826","5945 N Academy Blvd, Colorado Springs, CO 80918 | Located in: Erindale Square","(719) 592-0112","N/A","N/A","N/A","N/A"
"IHOP","3.9","2,116","8065 N Academy Blvd, Colorado Springs, CO 80920 | Located in: Chapel hills commons","(719) 264-0469","https://restaurants.ihop.com/en-us/co/colorado-springs/breakfast-8065-n-academy-blvd-1820?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=1820&utm_content=website","N/A","N/A","LGBTQ+ friendly"
"O'Furry's","4.3","1,187","900 E Fillmore St, Colorado Springs, CO 80907","(719) 634-3106","http://ofurryscs.com/","N/A","N/A","N/A"
"Lucky Dragon Chinese Restaurant","4.2","822","402 W Fillmore St, Colorado Springs, CO 80907","(719) 635-0112","N/A","N/A","N/A","N/A"
"Louie's Pizza","4.1","721","1146 E Fillmore St, Colorado Springs, CO 80907","(719) 473-0060","http://louies-pizza.com/","N/A","N/A","N/A"
"Mollica's Italian Market and Deli","4.6","1,413","985 Garden of the Gods Rd A, Colorado Springs, CO 80907 | Located in: Garden of the Gods Plaza","(719) 598-1088","https://mollicas.com/","N/A","N/A","N/A"
"Omelette Parlor","4.6","3,470","900 E Fillmore St, Colorado Springs, CO 80907","(719) 633-7770","http://www.omeletteparlorcs.com/","N/A","N/A","N/A"
"La Baguette French Bistro","4.5","910","4440 N Chestnut St, Colorado Springs, CO 80907","(719) 599-0686","http://labaguettefrenchbistro.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Bird Dog BBQ","4.4","920","4153 Centennial Blvd, Colorado Springs, CO 80907","(719) 268-6945","http://www.birddogbbq.com/","N/A","N/A","LGBTQ+ friendly"
"Eim Thai","4.6","693","1466 Garden of the Gods Rd #148, Colorado Springs, CO 80907","(719) 598-0980","http://www.eimthai.com/","N/A","N/A","N/A"
"Tokyo Joe's - CS (University Village)","3.9","630","5086 N Nevada Ave, Colorado Springs, CO 80918 | Located in: University Village Colorado shopping center","(719) 598-0142","http://tokyojoes.com/","N/A","N/A","N/A"
"Heart Of Jerusalem Cafe","4.6","1,522","3242 Centennial Blvd, Colorado Springs, CO 80907","(719) 227-3989","http://www.heartofjerusalemcafe.com/","N/A","N/A","N/A"
"Birdcall","4.4","1,398","6510 Tutt Blvd, Colorado Springs, CO 80923","(719) 259-6290","http://eatbirdcall.com/","N/A","N/A","LGBTQ+ friendly"
"La Minerva Food Truck","5.0","34","5470 E Woodmen Rd, Colorado Springs, CO 80920","(719) 715-9808","https://www.facebook.com/profile.php?id=100064613051593","N/A","N/A","N/A"
"A&W","3.2","90","8115 Dorothy Ln, Colorado Springs, CO 80920","(719) 599-5501","http://www.awrestaurants.com/","N/A","N/A","N/A"
"Shake Shack Interquest","3.5","120","9723 Federal Dr, Colorado Springs, CO 80921","(719) 895-5253","https://shakeshack.com/","N/A","N/A","N/A"
"Longboard Tacos","3.6","104","1895 Democracy Point Suite 120, Colorado Springs, CO 80908","(719) 884-2866","http://www.longboardtacos.com/","N/A","N/A","N/A"
"In-N-Out Burger Office + Distribution Center","4.1","41","1935 Interquest Pkwy, Colorado Springs, CO 80908","(800) 786-1000","N/A","N/A","N/A","N/A"
"Skirted Heifer","4.4","1,685","5935 Dublin Blvd #140, Colorado Springs, CO 80923","(719) 421-7182","http://www.skirtedheifer.com/","N/A","N/A","LGBTQ+ friendly"
"Monica’s Taco Shop","4.5","497","1485 Jamboree Dr, Colorado Springs, CO 80920","(719) 400-2557","https://monicas-taco-shop.business.site/?utm_source=gmb&utm_medium=referral","N/A","N/A","N/A"
"Village Inn","4.0","1,612","7384 Duryea Dr, Colorado Springs, CO 80923","(719) 266-0118","https://www.villageinn.com/locations/colorado-springs-co-duryea/","N/A","N/A","N/A"
"Fast Fit Foods","4.5","117","5988 Stetson Hills Blvd, Colorado Springs, CO 80923 | Floor 1 · Ridgeview Marketplace","(719) 315-7325","http://fastfitfoodsco.com/","N/A","N/A","Identifies as veteran-owned"
"Dave's Hot Chicken","4.7","647","1286 Interquest Pkwy Ste 190, Colorado Springs, CO 80921","(719) 355-2399","https://www.daveshotchicken.com/locations/","N/A","N/A","N/A"
"Bonchon Colorado Springs - Cross Peak View","3.7","219","11010 Cross Peak View Suite 110, Colorado Springs, CO 80921","(719) 571-9576","https://locations.bonchon.com/ll/US/CO/Colorado-Springs/11010-Cross-Peak-View","N/A","N/A","N/A"
"TenderFix by Noah Schnapp","N/A","N/A","512 N Chelton Rd, Colorado Springs, CO 80909","(888) 413-5074","N/A","N/A","N/A","N/A"
"Black Forest Pies & Grinders","4.4","611","11470 Black Forest Rd, Colorado Springs, CO 80908","(719) 495-8555","http://piesandgrinders.com/","N/A","N/A","N/A"
"Firehouse on the Run","4.5","357","12480 Black Forest Rd, Black Forest, CO 80908","(719) 495-8453","https://firehouseontherun.com/","N/A","N/A","N/A"
"Zapata Mexican Taco Shop","4.7","292","12229 Voyager Pkwy Suite 140, Colorado Springs, CO 80921","(719) 645-8467","https://www.zapatamexicanco.com/","N/A","N/A","N/A"
"Toastique - Colorado Springs Ridgeline","4.6","77","11590 Ridgeline Dr Ste 100, Colorado Springs, CO 80921","(719) 900-1590","https://toastique.com/","N/A","N/A","LGBTQ+ friendly","Identifies as women-owned"
"Applebee's Grill + Bar","4.0","2,780","3708 East Galley, Colorado Springs, CO 80909","(719) 574-5111","https://restaurants.applebees.com/en-us/co/colorado-springs/3708-east-galley-84053?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=84053&utm_content=website","N/A","N/A","LGBTQ+ friendly"
