Name,Rating,Number Of Ratings,Address,Phone Number,Website,Website to Book,Website to Search,Extra Information...,,,
McGill Company Inc,4.5,2,"800 La Salle Ave Suite 1640, Minneapolis, MN 55402 | Floor 1 · Park Dental LaSalle Plaza",(800) 468-7129,http://www.mcgillcompanyinc.com/,N/A,N/A,N/A,,,
Get You Some Business,N/A,N/A,"3041 Aldrich Ave S, Minneapolis, MN 55408",(651) 263-5042,http://getyousomebusiness.godaddysites.com/,N/A,N/A,N/A,,,
"Vision33 Inc. Minneapolis, MN",N/A,N/A,"100 S 5th St 19th floor, Minneapolis, MN 55402",(612) 392-3941,N/A,N/A,N/A,N/A,,,
Business Bridges,N/A,N/A,"4050 Shoreline Dr, Minneapolis, MN 55422",(763) 537-6980,http://www.businessbridges.com/,N/A,N/A,N/A,,,
Strategic Business Consulting,N/A,N/A,"640 24th Ave NE, Minneapolis, MN 55418",(612) 998-7141,N/A,N/A,N/A,N/A,,,
"Impact North, Inc. Management Consulting",N/A,N/A,"225 South 6th St Suite 3800, Minneapolis, MN 55402 | Floor 1 · Capella Tower",(612) 504-0722,https://impactnorthinc.com/,N/A,N/A,N/A,,,
1771 Co,5,4,"251 N 1st Ave #400, Minneapolis, MN 55401 | Floor 1 · Mc Kesson Building",(612) 424-0509,N/A,N/A,N/A,N/A,,,
"Criterion Business Development, LLC",N/A,N/A,"77 13th Ave S, Minneapolis, MN 55413",(612) 845-2323,N/A,N/A,N/A,N/A,,,
Vervint Minneapolis,4.3,6,"800 N Washington Ave #208, Minneapolis, MN 55401 | Floor 1 · TractorWorks Building",(616) 574-3500,https://www.vervint.com/,N/A,N/A,Identifies as women-owned,,,
BTM Global,5,7,"330 2nd Ave S UNIT 450, Minneapolis, MN 55401 | Floor 1 · Sommerer and Schultz",(612) 238-8800,https://www.btmglobal.com/,N/A,N/A,N/A,,,
Nicolet Tech: Business IT & Computer Services,5,7,"225 South 6th St Suite 3900, Minneapolis, MN 55402 | Floor 1 · Capella Tower",(651) 240-2202,https://nicolettech.com/services/managed-it-services-minneapolis/,N/A,N/A,N/A,,,
"Wells Management Company. Accounting, Tax & Business Solutions",N/A,N/A,"250 2nd Ave S Suite 282 C, Minneapolis, MN 55401 | Floor 1 · Crossings Condominiums",(612) 472-8450,N/A,http://www.wellsmanagementcompany.com/contact,N/A,N/A,,,
CLC Small Business Services,N/A,N/A,"3623 Glendale Terrace, Minneapolis, MN 55410",(507) 469-9895,N/A,N/A,N/A,N/A,,,
Growth Operators,5,2,"800 La Salle Ave Suite 1620, Minneapolis, MN 55402 | Floor 1 · Park Dental LaSalle Plaza",(952) 400-1440,https://growthoperators.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,N/A,N/A,N/A,,,
Olive & Company,4.4,13,"125 SE Main St #343, Minneapolis, MN 55414",(612) 379-3090,http://oliveandcompany.com/,N/A,N/A,N/A,,,
Peak Business Development,5,2,"1300 Godward St NE # 6600, Minneapolis, MN 55413 | Floor 1 · Broadway Place West",(612) 238-1467,N/A,N/A,N/A,N/A,,,
Business Wire,N/A,N/A,"100 N 6th St #750b, Minneapolis, MN 55403",(612) 376-7979,http://www.businesswire.com/,N/A,N/A,N/A,,,
Latino Chamber of Commerce Minnesota,N/A,N/A,"81 S 9th St Suite 200, Minneapolis, MN 55402",(612) 370-9137,http://latinochambermn.com/about-us/,N/A,N/A,N/A,,,
East Town Business Partnership,N/A,N/A,"81 S 9th St Suite 260, Minneapolis, MN 55402",(612) 359-0601,https://easttownmpls.org/,N/A,N/A,N/A,,,
Business Coaching Twin Cities,N/A,N/A,"4545 Harriet Ave, Minneapolis, MN 55419",(763) 551-4777,http://www.businesscoachingtwincities.com/,N/A,N/A,N/A,,,
VB Consulting | Business Management | Twin Cities MN,N/A,N/A,N/A,(612) 605-1529,N/A,N/A,N/A,N/A,,,
McKinsey & Co,3,4,"800 La Salle Ave #2350, Minneapolis, MN 55402 | Floor 1 · Park Dental LaSalle Plaza",(612) 371-3100,http://www.mckinsey.com/,N/A,N/A,LGBTQ+ friendly,,,
International Business Group,N/A,N/A,"2400 Minnehaha Ave, Minneapolis, MN 55404 | Located in: Tawfiq Islamic Center",(612) 724-1313,N/A,N/A,N/A,N/A,,,
Calculated Hire - Minneapolis,3,2,"800 N Washington Ave Suite 340, Minneapolis, MN 55401 | Floor 1 · TractorWorks Building",(612) 284-5159,https://www.calculatedhire.com/locations/minneapolis,N/A,N/A,N/A,,,
Refocus Business Solutions,5,2,"2909 S Wayzata Blvd, Minneapolis, MN 55405 | Located in: ModernWell",(612) 965-2301,https://refocus-business-solutions.business.site/?utm_source=gmb&utm_medium=referral,N/A,N/A,Identifies as women-owned,,,
FRWD @ Bain & Company,4.7,6,"800 N Washington Ave, Minneapolis, MN 55401 | Located in: TractorWorks Building",(612) 235-5030,https://www.frwd.com/,N/A,N/A,N/A,,,
Hubler For Business Families,5,5,"80 S 8th St #900a, Minneapolis, MN 55402 | Floor 1 · IDS Center",(612) 375-0640,http://www.hublerfamilybusiness.com/,N/A,N/A,N/A,,,
"Salo, a Korn Ferry Company - Minneapolis",4.5,4,"701 N Washington Ave Suite 500, Minneapolis, MN 55401 | Located in: Loose Wiles Building",(612) 230-7256,https://hellosalo.com/minneapolis-talent-firm/?utm_source=google&utm_medium=organic&utm_campaign=gbp,N/A,N/A,N/A,,,
Durant Business Advisors,N/A,N/A,"901 S Marquette Ave, Minneapolis, MN 55402",(612) 615-0075,http://durantbusinessadvisors.com/about-us.html,N/A,N/A,N/A,,,
Improving,4.9,24,"1515 Central Ave NE #100, Minneapolis, MN 55413",(612) 385-4068,https://improving.com/,N/A,N/A,N/A,,,
Accenture,4.9,51,"333 S 7th St, Minneapolis, MN 55402 | Located in: SPS Tower",(612) 277-0000,https://www.accenture.com/us-en/about/company/united-states?c=acn_glb_locationmarketiyext_11052116&n=otc_1019,N/A,N/A,N/A,,,
"Resource Data, Inc.",N/A,N/A,"901 N 3rd St #350, Minneapolis, MN 55401 | Floor 1 · Bassett Creek Business Center",(612) 886-1436,http://www.resourcedata.com/,N/A,N/A,N/A,,,
"MoreLaw Minneapolis, LLC",5,3,"310 S 4th Ave, Minneapolis, MN 55415 | Located in: Flour Exchange Building",(612) 206-3700,N/A,N/A,N/A,N/A,,,
Great Northern Consulting,5,17,"1516 W Lake St, Minneapolis, MN 55408",(651) 800-5345,N/A,N/A,N/A,N/A,,,
"BRICK, Inc.",5,2,"Lumber Exchange Building, 10 S 5th St #1008, Minneapolis, MN 55402 | Floor 1 · Lumber Exchange Building",(612) 351-3232,https://www.trybrick.com/,N/A,N/A,N/A,,,
Express Social,5,3,"331 2nd Ave S suite 463, Minneapolis, MN 55401 | Floor 1 · Expansive TriTech Center",(612) 522-1065,N/A,http://expresssocialmn.com/,N/A,Identifies as Black-owned,LGBTQ+ friendly,Identifies as women-owned,Identifies as Latino-owned
Fathom Consulting,N/A,N/A,"108 N Washington Ave #400, Minneapolis, MN 55401",(612) 677-0640,http://www.consultfathom.com/,N/A,N/A,N/A,,,
Fulcrum Consulting L.L.C,4.6,12,"Headquarters, 124 N 3rd Ave Suite 201, Minneapolis, MN 55401",(866) 975-3102,http://www.fulcrumconsult.com/,N/A,N/A,N/A,,,
"PDRI, a CEB Company",N/A,N/A,"650 3rd Ave S UNIT 1800, Minneapolis, MN 55402 | Floor 1 · Capella Tower",(612) 331-3680,http://www.pdri.com/,N/A,N/A,N/A,,,
